#SampleID	Fn_Cp	GAS_Reads	GAS_Rel	FN_pos	GAS_bin	GAS_pos	Cat
o4142	0	115	0.003728923	FALSE	high	TRUE	GAS pos
o4304	0	213	0.003905892	FALSE	high	TRUE	GAS pos
o4083	0	323	0.01847509	FALSE	high	TRUE	GAS pos
o4237	0	336	0.012968467	FALSE	high	TRUE	GAS pos
o4286	0	741	0.018780414	FALSE	high	TRUE	GAS pos
o4168	0	793	0.017138535	FALSE	high	TRUE	GAS pos
o4036	0	1093	0.032038693	FALSE	high	TRUE	GAS pos
o4257	0	1276	0.035762332	FALSE	high	TRUE	GAS pos
o4288	0	2279	0.034797612	FALSE	high	TRUE	GAS pos
o4065	0	2836	0.120245919	FALSE	high	TRUE	GAS pos
o4268	0	3841	0.084764091	FALSE	high	TRUE	GAS pos
o4254	0	3931	0.081343376	FALSE	high	TRUE	GAS pos
o4260	0	4348	0.095720324	FALSE	high	TRUE	GAS pos
o4295	0	13418	0.488940713	FALSE	high	TRUE	GAS pos
o4027	0	15908	0.496039913	FALSE	high	TRUE	GAS pos
o4107	0	22810	0.562141114	FALSE	high	TRUE	GAS pos
o4023	29.97	115	0.001941944	TRUE	high	TRUE	Both pos
o4280	43.29	201	0.003098123	TRUE	high	TRUE	Both pos
o4274	45	1867	0.038240957	TRUE	high	TRUE	Both pos
o4024	35.25	3986	0.117466773	TRUE	high	TRUE	Both pos
o4038	38.87	4835	0.255617235	TRUE	high	TRUE	Both pos
o4278	35.72	5397	0.100124297	TRUE	high	TRUE	Both pos
o4133	39.76	6680	0.168376478	TRUE	high	TRUE	Both pos
o4020	31.09	10256	0.20669085	TRUE	high	TRUE	Both pos
o4052	0	1	2.70E-05	FALSE	low	FALSE	Both neg
o4251	0	1	1.69E-05	FALSE	low	FALSE	Both neg
o4163	0	2	4.03E-05	FALSE	low	FALSE	Both neg
o4282	0	2	3.04E-05	FALSE	low	FALSE	Both neg
o4311	0	2	3.73E-05	FALSE	low	FALSE	Both neg
o4314	0	2	6.33E-05	FALSE	low	FALSE	Both neg
o4007	0	3	9.78E-05	FALSE	low	FALSE	Both neg
o4192	0	5	0.000135091	FALSE	low	FALSE	Both neg
o4156	0	6	0.000244788	FALSE	low	FALSE	Both neg
o4150	0	9	0.00022694	FALSE	low	TRUE	GAS pos
o4098	0	16	0.000607995	FALSE	low	TRUE	GAS pos
o4233	0	20	0.000624883	FALSE	low	TRUE	GAS pos
o4201	0	21	0.000798479	FALSE	low	TRUE	GAS pos
o4281	0	22	0.000336474	FALSE	low	TRUE	GAS pos
o4341	0	78	0.002705891	FALSE	low	TRUE	GAS pos
o4241	0	82	0.116477273	FALSE	low	TRUE	GAS pos
o4114	0	91	0.491891892	FALSE	low	TRUE	GAS pos
o4030	28.37	1	2.56E-05	TRUE	low	FALSE	FN pos
o4016	29.97	1	2.85E-05	TRUE	low	FALSE	FN pos
o4305	31.39	1	2.16E-05	TRUE	low	FALSE	FN pos
o4285	35.26	1	1.67E-05	TRUE	low	FALSE	FN pos
o4244	23.42	2	4.29E-05	TRUE	low	FALSE	FN pos
o4127	26.1	2	7.08E-05	TRUE	low	FALSE	FN pos
o4138	26.62	2	7.24E-05	TRUE	low	FALSE	FN pos
o4284	41.05	2	2.79E-05	TRUE	low	FALSE	FN pos
o4177	36.2	4	8.04E-05	TRUE	low	FALSE	FN pos
