sampleid	Cluster	Description
K01407	1	K01407: protease III
K05844	1	K05844: ribosomal protein S6 modification protein
K00500	1	K00500: phenylalanine-4-hydroxylase
K01101	1	K01101: 4-nitrophenyl phosphatase
K05591	1	K05591: ATP-independent RNA helicase DbpA
K05596	1	K05596: LysR family transcriptional regulator chromosome initiation
K05597	1	K05597: glutamin-(asparagin-)ase
K05595	1	K05595: multiple antibiotic resistance protein
K02456	1	K02456: general secretion pathway protein G
K02457	1	K02457: general secretion pathway protein H
K02106	1	K02106: short-chain fatty acids transporter
K02455	1	K02455: general secretion pathway protein F
K02452	1	K02452: general secretion pathway protein C
K02453	1	K02453: general secretion pathway protein D
K02458	1	K02458: general secretion pathway protein I
K02459	1	K02459: general secretion pathway protein J
K02193	1	K02193: heme exporter ATP-binding protein CcmA
K13275	1	K13275
K03271	1	K03271: phosphoheptose isomerase
K03270	1	K03270: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P
K03273	1	K03273: D-glycero-D-manno-heptose 17-bisphosphate phosphatase
K12276	1	K12276: MSHA biogenesis protein MshE
K12057	1	K12057: conjugal transfer pilus assembly protein TraF
K12056	1	K12056: conjugal transfer mating pair stabilization protein TraG
K09906	1	K09906: hypothetical protein
K07175	1	K07175: PhoH-like ATPase
K07172	1	K07172
K07173	1	K07173: S-ribosylhomocysteine lyase
K07170	1	K07170: GAF domain-containing protein
K00196	1	K00196: carbon-monoxide dehydrogenase iron sulfur subunit
K10107	1	K10107: capsular polysaccharide transport system permease protein
K01825	1	K01825: dodecenoyl-CoA delta-isomerase
K00990	1	K00990: [protein-PII] uridylyltransferase
K13483	1	K13483
K13487	1	K13487
K03462	1	K03462: nicotinamide phosphoribosyltransferase
K03464	1	K03464: muconolactone D-isomerase
K01640	1	K01640: hydroxymethylglutaryl-CoA lyase
K01644	1	K01644: citrate lyase subunit beta
K02596	1	K02596: nitrogen fixation protein NifX
K14063	1	K14063
K09758	1	K09758: aspartate 4-decarboxylase
K03646	1	K03646: colicin import membrane protein
K03642	1	K03642: rare lipoprotein A
K12422	1	K12422: long chain fatty acid CoA ligase FadD10
K07345	1	K07345: major type 1 subunit fimbrin (pilin)
K07347	1	K07347: outer membrane usher protein
K07346	1	K07346: fimbrial chaperone protein
K06969	1	K06969: putative SAM-dependent methyltransferase
K08994	1	K08994: putative membrane protein
K08990	1	K08990: putative membrane protein
K08992	1	K08992: putative membrane protein
K05927	1	K05927: quinone-reactive Ni/Fe-hydrogenase small subunit
K05922	1	K05922: quinone-reactive Ni/Fe-hydrogenase large subunit
K00346	1	K00346: Na+-transporting NADH:ubiquinone oxidoreductase subunit A
K02454	1	K02454: general secretion pathway protein E
K05822	1	K05822: tetrahydrodipicolinate N-acetyltransferase
K05820	1	K05820: MFS transporter PPP family 3-phenylpropionic acid transporter
K00520	1	K00520: mercuric reductase
K03981	1	K03981: thiol:disulfide interchange protein DsbC
K01342	1	K01342: subtilisin
K09017	1	K09017: TetR/AcrR family transcriptional regulator
K00836	1	K00836: diaminobutyrate-2-oxoglutarate transaminase
K00835	1	K00835: valine--pyruvate aminotransferase
K00839	1	K00839: aminotransferase
K01120	1	K01120: 3'5'-cyclic-nucleotide phosphodiesterase
K01126	1	K01126: glycerophosphoryl diester phosphodiesterase
K02472	1	K02472: UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
K02475	1	K02475: two-component system CitB family response regulator
K02477	1	K02477: two-component system LytT family response regulator
K01266	1	K01266: D-aminopeptidase
K01267	1	K01267: aspartyl aminopeptidase
K02584	1	K02584: Nif-specific regulatory protein
K12211	1	K12211: intracellular multiplication protein IcmG
K12218	1	K12218: intracellular multiplication protein IcmP
K11748	1	K11748: glutathione-regulated potassium-efflux system ancillary protein KefG
K11746	1	K11746: glutathione-regulated potassium-efflux system ancillary protein KefF
K11747	1	K11747: glutathione-regulated potassium-efflux system protein KefB
K11745	1	K11745: glutathione-regulated potassium-efflux system ancillary protein KefC
K11740	1	K11740: bacteriophage N4 adsorption protein B
K11741	1	K11741: quaternary ammonium compound-resistance protein SugE
K13923	1	K13923
K13924	1	K13924
K13926	1	K13926
K13928	1	K13928
K13929	1	K13929
K09927	1	K09927: hypothetical protein
K09925	1	K09925: hypothetical protein
K00758	1	K00758: thymidine phosphorylase
K00756	1	K00756: pyrimidine-nucleoside phosphorylase
K07153	1	K07153
K07154	1	K07154
K07156	1	K07156
K07401	1	K07401: selenoprotein W-related protein
K01800	1	K01800: maleylacetoacetate isomerase
K01801	1	K01801: maleylpyruvate isomerase
K01666	1	K01666: 4-hydroxy 2-oxovalerate aldolase
K05362	1	K05362: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase
K05365	1	K05365: penicillin-binding protein 1B
K03402	1	K03402: transcriptional regulator of arginine metabolism
K03406	1	K03406: methyl-accepting chemotaxis protein
K03407	1	K03407: two-component system chemotaxis family sensor kinase CheA
K03408	1	K03408: purine-binding chemotaxis protein CheW
K02312	1	K02312: 23-dihydroxybenzoate-AMP ligase
K12150	1	K12150: HIT-like protein HinT
K07091	1	K07091: lipopolysaccharide export system permease protein
K11179	1	K11179: tRNA 2-thiouridine synthesizing protein E
K00322	1	K00322: NAD(P) transhydrogenase
K00320	1	K00320: coenzyme F420-dependent N5N10-methenyltetrahydromethanopterin
K06415	1	K06415: stage V sporulation protein R
K10806	1	K10806: acyl-CoA thioesterase YciA
K10804	1	K10804: acyl-CoA thioesterase I
K09136	1	K09136: hypothetical protein
K05805	1	K05805: CreA protein
K05801	1	K05801: DnaJ like chaperone protein
K05802	1	K05802: potassium efflux system protein KefA
K04562	1	K04562: flagellar biosynthesis protein FlhG
K02063	1	K02063: thiamine transport system permease protein
K05565	1	K05565: multicomponent Na+:H+ antiporter subunit A
K05564	1	K05564: multicomponent K+:H+ antiporter subunit G
K02676	1	K02676: type IV pilus assembly protein PilZ
K02670	1	K02670: twitching motility protein PilU
K00813	1	K00813: aspartate aminotransferase
K02411	1	K02411: flagellar assembly protein FliH
K02415	1	K02415: flagellar FliL protein
K00120	1	K00120
K00121	1	K00121: S-(hydroxymethyl)glutathione dehydrogenase
K11811	1	K11811: arsenical resistance protein ArsH
K07136	1	K07136
K04762	1	K04762: ribosome-associated heat shock protein Hsp15
K04760	1	K04760: transcription elongation factor GreB
K04761	1	K04761: LysR family transcriptional regulator hydrogen peroxide-inducible
K04768	1	K04768: acetoin utilization protein AcuC
K03426	1	K03426: NAD+ diphosphatase
K03427	1	K03427: type I restriction enzyme M protein
K02339	1	K02339: DNA polymerase III subunit chi
K03683	1	K03683: ribonuclease T
K07300	1	K07300: Ca2+:H+ antiporter
K07303	1	K07303: isoquinoline 1-oxidoreductase beta subunit
K07302	1	K07302: isoquinoline 1-oxidoreductase alpha subunit
K07306	1	K07306: anaerobic dimethyl sulfoxide reductase subunit A
K02610	1	K02610: phenylacetic acid degradation protein
K02611	1	K02611: phenylacetic acid degradation protein
K09689	1	K09689: capsular polysaccharide transport system ATP-binding protein
K05962	1	K05962: protein-histidine pros-kinase
K05961	1	K05961
K11159	1	K11159: carotenoid cleavage dioxygenase
K00657	1	K00657: diamine N-acetyltransferase
K10826	1	K10826: Fe3+-transporting ATPase
K01303	1	K01303: acylaminoacyl-peptidase
K02658	1	K02658: twitching motility two-component system response regulator PilH
K02655	1	K02655: type IV pilus assembly protein PilE
K02656	1	K02656: type IV pilus assembly protein PilF
K02657	1	K02657: twitching motility two-component system response regulator PilG
K09516	1	K09516: all-trans-retinol 1314-reductase
K03745	1	K03745: SlyX protein
K03215	1	K03215: RNA methyltransferase TrmA family
K09474	1	K09474: acid phosphatase (class A)
K07547	1	K07547: 2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit
K07233	1	K07233: copper resistance protein B
K07114	1	K07114
K07115	1	K07115
K07116	1	K07116
K07112	1	K07112
K07445	1	K07445: putative DNA methylase
K01845	1	K01845: glutamate-1-semialdehyde 21-aminomutase
K08485	1	K08485: phosphocarrier protein NPr
K08484	1	K08484: phosphotransferase system enzyme I PtsP
K03919	1	K03919: alkylated DNA repair protein
K13571	1	K13571
K07323	1	K07323: putative toluene tolerance protein
K07320	1	K07320: putative adenine-specific DNA-methyltransferase
K06186	1	K06186: small protein A
K06189	1	K06189: magnesium and cobalt transporter
K05986	1	K05986
K05982	1	K05982: deoxyribonuclease V
K00673	1	K00673: arginine N-succinyltransferase
K06985	1	K06985
K06987	1	K06987
K02440	1	K02440: glycerol uptake facilitator protein
K02442	1	K02442: membrane protein GlpM
K00856	1	K00856: adenosine kinase
K00851	1	K00851: gluconokinase
K01183	1	K01183: chitinase
K13766	1	K13766
K13767	1	K13767
K03580	1	K03580: ATP-dependent helicase HepA
K03586	1	K03586: cell division protein FtsL
K03585	1	K03585: membrane fusion protein
K03862	1	K03862: vanillate monooxygenase
K01722	1	K01722
K01729	1	K01729: poly(beta-D-mannuronate) lyase
K02182	1	K02182: crotonobetaine/carnitine-CoA ligase
K03769	1	K03769: peptidyl-prolyl cis-trans isomerase C
K03760	1	K03760: putative membrane protein
K09456	1	K09456: putative acyl-CoA dehydrogenase
K11720	1	K11720: lipopolysaccharide export system permease protein
K07469	1	K07469: aldehyde dehydrogenase (FAD-independent)
K07467	1	K07467: phage replication initiation protein
K07460	1	K07460: putative endonuclease
K07461	1	K07461: putative endonuclease
K07462	1	K07462: single-stranded-DNA-specific exonuclease
K10679	1	K10679: nitroreductase / dihydropteridine reductase
K10678	1	K10678: nitroreductase
K10673	1	"K10673: streptomycin 3""-kinase"
K08724	1	K08724: penicillin-binding protein 2B
K00114	1	K00114: alcohol dehydrogenase (acceptor)
K01531	1	K01531: Mg2+-importing ATPase
K01535	1	K01535: H+-transporting ATPase
K01537	1	K01537: Ca2+-transporting ATPase
K03973	1	K03973: phage shock protein C
K03974	1	K03974: psp operon transcriptional activator
K13378	1	K13378
K03394	1	K03394: cobalt-factor-2 C20-methyltransferase
K03391	1	K03391: pentachlorophenol monooxygenase
K06610	1	K06610: MFS transporter SP family inositol transporter
K11444	1	K11444: two-component system PleD family response regulator WspR
K00619	1	K00619: amino-acid N-acetyltransferase
K07708	1	K07708: two-component system NtrC family nitrogen regulation sensor
K13746	1	K13746
K02618	1	K02618: phenylacetic acid degradation protein
K02616	1	K02616: phenylacetic acid degradation operon negative regulatory protein
K02612	1	K02612: phenylacetic acid degradation protein
K03566	1	K03566: LysR family transcriptional regulator glycine cleavage system
K03563	1	K03563: carbon storage regulator
K01707	1	K01707: 5-dehydro-4-deoxyglucarate dehydratase
K14161	1	K14161
K14162	1	K14162
K05394	1	K05394: atrazine chlorohydrolase
K03708	1	K03708: transcriptional regulator CtsR
K06282	1	K06282: hydrogenase small subunit
K06281	1	K06281: hydrogenase large subunit
K06867	1	K06867
K00137	1	K00137: aminobutyraldehyde dehydrogenase
K00425	1	K00425: cytochrome bd-I oxidase subunit I
K00427	1	K00427: L-lactate permease
K00426	1	K00426: cytochrome bd-I oxidase subunit II
K14086	1	K14086
K01552	1	K01552
K01556	1	K01556: kynureninase
K01557	1	K01557: acylpyruvate hydrolase
K01554	1	K01554
K01555	1	K01555: fumarylacetoacetase
K02395	1	K02395: flagellar protein FlgJ
K02397	1	K02397: flagellar hook-associated protein 3 FlgL
K02396	1	K02396: flagellar hook-associated protein 1 FlgK
K02391	1	K02391: flagellar basal-body rod protein FlgF
K02393	1	K02393: flagellar L-ring protein precursor FlgH
K12339	1	K12339: cysteine synthase B
K13821	1	K13821
K00638	1	K00638: chloramphenicol O-acetyltransferase
K00639	1	K00639: glycine C-acetyltransferase
K00630	1	K00630: glycerol-3-phosphate O-acyltransferase
K00631	1	K00631: glycerol-3-phosphate O-acyltransferase
K00633	1	K00633: galactoside O-acetyltransferase
K00694	1	K00694: cellulose synthase (UDP-forming)
K10228	1	K10228: sorbitol/mannitol transport system permease protein
K10229	1	K10229: sorbitol/mannitol transport system permease protein
K10220	1	K10220: 4-oxalmesaconate hydratase
K01941	1	K01941: urea carboxylase
K07729	1	K07729: putative transcriptional regulator
K07727	1	K07727: putative transcriptional regulator
K07726	1	K07726: putative transcriptional regulator
K01768	1	K01768: adenylate cyclase
K01761	1	K01761: methionine-gamma-lyase
K02498	1	K02498: HemY protein
K08169	1	K08169: MFS transporter DHA2 family multidrug resistance protein
K14415	1	K14415
K14414	1	K14414
K03547	1	K03547: exonuclease SbcD
K03548	1	K03548: putative permease
K02237	1	K02237: competence protein ComEA
K02238	1	K02238: competence protein ComEC
K11896	1	K11896: type VI secretion system protein ImpG
K11897	1	K11897: type VI secretion system protein ImpF
K11895	1	K11895: type VI secretion system protein ImpH
K11892	1	K11892: type VI secretion system protein ImpK
K11893	1	K11893: type VI secretion system protein ImpJ
K11890	1	K11890: type VI secretion system protein ImpM
K11891	1	K11891: type VI secretion system protein ImpL
K00151	1	K00151: 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
K00153	1	K00153: NAD/factor-dependent formaldehyde dehydrogenase
K00407	1	K00407: cb-type cytochrome c oxidase subunit IV
K00406	1	K00406: cb-type cytochrome c oxidase subunit III
K00405	1	K00405: cb-type cytochrome c oxidase subunit II
K00404	1	K00404: cb-type cytochrome c oxidase subunit I
K00158	1	K00158: pyruvate oxidase
K04096	1	K04096: DNA processing protein
K04090	1	K04090: indolepyruvate ferredoxin oxidoreductase
K01571	1	K01571: oxaloacetate decarboxylase alpha subunit
K07290	1	K07290: hypothetical protein
K01966	1	K01966: propionyl-CoA carboxylase beta chain
K01969	1	K01969: 3-methylcrotonyl-CoA carboxylase beta subunit
K01968	1	K01968: 3-methylcrotonyl-CoA carboxylase alpha subunit
K07741	1	K07741: anti-repressor protein
K01295	1	K01295: glutamate carboxypeptidase
K05603	1	K05603: formimidoylglutamate deiminase
K00219	1	K00219: 24-dienoyl-CoA reductase (NADPH2)
K01035	1	K01035: acetate CoA-transferase beta subunit
K01034	1	K01034: acetate CoA-transferase alpha subunit
K01036	1	K01036: butyrate-acetoacetate CoA-transferase
K01031	1	K01031: 3-oxoadipate CoA-transferase alpha subunit
K01745	1	K01745: histidine ammonia-lyase
K01032	1	K01032: 3-oxoadipate CoA-transferase beta subunit
K01039	1	K01039: glutaconate CoA-transferase subunit A
