sampleid	Station	Latitude (N)	Longitude (E)	X-coordinate	Y-coordinate	Depth	Temperature	Salinity	Oxygen	Fluorescence	Turbidity	Nitrate	Phosphate	Silicate	Inverse Simpson diversity index	Shannon diversity index	Pielou diversity index	Testing
sample01	12	17.662	40.905	1.204	0.93281	10	31.2	38.87	4.249	0.001	0.2553	0.17	0.13	2.1505	1076.46	7.25467	0.837596	Test
sample02	12	17.662	40.905	1.204	0.93281	25	31.144	38.869	4.248	0.0157	0.2622	0.12	0.13	2.2215	1008.18	7.19105	0.830251	Train
sample03	12	17.662	40.905	1.204	0.93281	47	23.042	37.393	1.969	1.519	0.3281	12.6	1.07	10.854	951.186	7.20975	0.83241	Train
sample04	22	17.996	39.799	0.38535	1.748	10	30.454	39.063	4.29	0.001	0.2601	0.23	0.13	2.2113	1078.6	7.22261	0.833895	Train
sample05	22	17.996	39.799	0.38535	1.748	25	29.913	39.072	4.324	0.001	0.2988	0.07	0.12	2.2925	1007.73	7.18889	0.830001	Train
sample06	22	17.996	39.799	0.38535	1.748	50	29.681	39.068	4.319	0.0983	0.2631	0.12	0.11	2.3635	1041.06	7.23498	0.835323	Train
sample07	22	17.996	39.799	0.38535	1.748	100	24.374	40.052	3.635	0.0814	0.2379	4.23	0.26	3.0228	982.564	7.26836	0.839177	Train
sample08	22	17.996	39.799	0.38535	1.748	200	21.927	40.453	1.546	0.001	0.233	14.5	0.82	9.5959	965.117	7.2286	0.834587	Train
sample09	22	17.996	39.799	0.38535	1.748	500	21.571	40.533	1.089	0.001	0.2338	16.5	1.26	15.317	1030.21	7.31329	0.844365	Train
sample10	34	18.58	40.743	1.4931	1.819	10	31.021	38.918	4.338	0.0011	0.2414	0.27	0.14	2.2722	1003.12	7.21679	0.833223	Train
sample11	34	18.58	40.743	1.4931	1.819	25	30.867	38.937	4.585	0.012	0.2469	2.18	0.25	2.0693	999.922	7.22465	0.83413	Train
sample12	34	18.58	40.743	1.4931	1.819	50	21.57	37.014	1.288	1.0967	0.2893	17.5	1.34	14.505	1010.87	7.28763	0.841402	Train
sample13	34	18.58	40.743	1.4931	1.819	100	22.382	38.435	1.932	0.0336	0.25	9.97	0.71	15.2	998.883	7.2642	0.838697	Train
sample14	34	18.58	40.743	1.4931	1.819	200	22.197	40.398	2.838	0.001	0.2373	13.2	0.79	16.128	1012.67	7.28311	0.84088	Train
sample15	34	18.58	40.743	1.4931	1.819	258	21.81	40.477	0.602	0.001	0.2583	16.5	1.22	16.433	1041.43	7.3155	0.84462	Test
sample16	91	20.525	38.781	0.67735	4.4585	10	30.361	39.291	4.379	0.001	0.2721	0.23	0.13	2.8596	1000.03	7.15541	0.826136	Train
sample17	91	20.525	38.781	0.67735	4.4585	25	30.365	39.291	4.379	0.001	0.2737	0.2	0.16	2.1038	1051.91	7.19754	0.831001	Train
sample18	91	20.525	38.781	0.67735	4.4585	50	28.495	39.43	4.635	0.0575	0.2578	4.23	0.22	2.6042	1052.65	7.16345	0.827065	Train
sample19	91	20.525	38.781	0.67735	4.4585	100	24.118	40.103	3.484	0.2267	0.242	0.23	0.17	2.7983	989.422	7.27295	0.839707	Train
sample20	91	20.525	38.781	0.67735	4.4585	200	21.938	40.45	1.673	0.001	0.2437	12.1	0.64	7.9455	1065.27	7.34932	0.848524	Train
sample21	91	20.525	38.781	0.67735	4.4585	500	21.575	40.531	0.915	0.001	0.235	17.5	0.96	16.749	1392.02	7.58553	0.875796	Train
sample22	108	22.046	37.929	0.64142	6.2015	10	30.529	39.37	4.368	0.001	0.2475	0.44	0.14	1.634	1104.49	7.30563	0.84348	Train
sample23	108	22.046	37.929	0.64142	6.2015	25	30.509	39.373	4.378	0.001	0.2498	0.39	0.2	1.8281	1082.27	7.26071	0.838294	Train
sample24	108	22.046	37.929	0.64142	6.2015	50	30.436	39.368	4.382	0.0024	0.256	0.06	0.13	2.0834	1095.64	7.26406	0.838681	Train
